no,tanggal,musim,tahun,bulan,jam,hari_libur,hari,hari_kerja,cuaca,suhu,suhu_subjek,kelembapan,kecepatan_angin,kasual,terdaftar,total
30,2011-01-02,Semi,2011,Januari,06:00,0,Minggu,0,Hujan/Salju Ringan,17,21,77,20,0,2,2
31,2011-01-02,Semi,2011,Januari,07:00,0,Minggu,0,Berkabut,16,20,76,13,0,1,1
32,2011-01-02,Semi,2011,Januari,08:00,0,Minggu,0,Hujan/Salju Ringan,16,20,71,15,0,8,8
33,2011-01-02,Semi,2011,Januari,09:00,0,Minggu,0,Berkabut,16,20,76,15,1,19,20
34,2011-01-02,Semi,2011,Januari,10:00,0,Minggu,0,Berkabut,15,17,81,15,7,46,53
35,2011-01-02,Semi,2011,Januari,11:00,0,Minggu,0,Berkabut,15,17,71,17,16,54,70
36,2011-01-02,Semi,2011,Januari,12:00,0,Minggu,0,Berkabut,15,17,66,20,20,73,93
37,2011-01-02,Semi,2011,Januari,13:00,0,Minggu,0,Berkabut,15,17,66,9,11,64,75
38,2011-01-02,Semi,2011,Januari,14:00,0,Minggu,0,Hujan/Salju Ringan,15,17,76,13,4,55,59
39,2011-01-02,Semi,2011,Januari,15:00,0,Minggu,0,Hujan/Salju Ringan,14,17,81,11,19,55,74
40,2011-01-02,Semi,2011,Januari,16:00,0,Minggu,0,Hujan/Salju Ringan,14,17,71,11,9,67,76
41,2011-01-02,Semi,2011,Januari,17:00,0,Minggu,0,Cerah,14,17,57,13,7,58,65
42,2011-01-02,Semi,2011,Januari,18:00,0,Minggu,0,Berkabut,15,17,46,22,10,43,53
43,2011-01-02,Semi,2011,Januari,19:00,0,Minggu,0,Cerah,13,14,42,30,1,29,30
44,2011-01-02,Semi,2011,Januari,20:00,0,Minggu,0,Cerah,12,14,39,24,5,17,22
45,2011-01-02,Semi,2011,Januari,21:00,0,Minggu,0,Cerah,11,11,44,22,11,20,31
46,2011-01-02,Semi,2011,Januari,22:00,0,Minggu,0,Cerah,10,11,44,20,0,9,9
47,2011-01-02,Semi,2011,Januari,23:00,0,Minggu,0,Cerah,9,11,47,11,0,8,8
48,2011-01-03,Semi,2011,Januari,00:00,0,Senin,1,Cerah,9,10,44,24,0,5,5
49,2011-01-03,Semi,2011,Januari,01:00,0,Senin,1,Cerah,8,8,44,28,0,2,2
50,2011-01-03,Semi,2011,Januari,04:00,0,Senin,1,Cerah,7,7,47,26,0,1,1
51,2011-01-03,Semi,2011,Januari,05:00,0,Senin,1,Cerah,7,7,47,19,0,3,3
52,2011-01-03,Semi,2011,Januari,06:00,0,Senin,1,Cerah,6,5,50,26,0,30,30
53,2011-01-03,Semi,2011,Januari,07:00,0,Senin,1,Cerah,6,7,50,13,1,63,64
54,2011-01-03,Semi,2011,Januari,08:00,0,Senin,1,Cerah,6,6,50,19,1,153,154
55,2011-01-03,Semi,2011,Januari,09:00,0,Senin,1,Cerah,7,7,43,26,7,81,88
56,2011-01-03,Semi,2011,Januari,10:00,0,Senin,1,Cerah,7,8,43,17,11,33,44
57,2011-01-03,Semi,2011,Januari,11:00,0,Senin,1,Cerah,8,9,40,22,10,41,51
58,2011-01-03,Semi,2011,Januari,12:00,0,Senin,1,Cerah,9,11,35,20,13,48,61
59,2011-01-03,Semi,2011,Januari,13:00,0,Senin,1,Cerah,10,11,35,19,8,53,61
60,2011-01-03,Semi,2011,Januari,14:00,0,Senin,1,Cerah,11,12,30,19,11,66,77
61,2011-01-03,Semi,2011,Januari,15:00,0,Senin,1,Cerah,11,12,30,17,14,58,72
62,2011-01-03,Semi,2011,Januari,16:00,0,Senin,1,Cerah,11,12,30,17,9,67,76
63,2011-01-03,Semi,2011,Januari,17:00,0,Senin,1,Cerah,10,11,30,15,11,146,157
64,2011-01-03,Semi,2011,Januari,18:00,0,Senin,1,Cerah,10,13,32,7,9,148,157
65,2011-01-03,Semi,2011,Januari,19:00,0,Senin,1,Cerah,8,13,47,0,8,102,110
66,2011-01-03,Semi,2011,Januari,20:00,0,Senin,1,Cerah,8,11,47,7,3,49,52
67,2011-01-03,Semi,2011,Januari,21:00,0,Senin,1,Cerah,7,10,64,9,3,49,52
68,2011-01-03,Semi,2011,Januari,22:00,0,Senin,1,Cerah,6,8,69,9,0,20,20
69,2011-01-03,Semi,2011,Januari,23:00,0,Senin,1,Cerah,7,11,55,7,1,11,12
70,2011-01-04,Semi,2011,Januari,00:00,0,Selasa,1,Cerah,7,9,55,7,0,5,5
71,2011-01-04,Semi,2011,Januari,01:00,0,Selasa,1,Cerah,7,9,59,7,0,2,2
72,2011-01-04,Semi,2011,Januari,02:00,0,Selasa,1,Cerah,6,8,63,9,0,1,1
73,2011-01-04,Semi,2011,Januari,04:00,0,Selasa,1,Cerah,6,9,63,6,0,2,2
74,2011-01-04,Semi,2011,Januari,05:00,0,Selasa,1,Cerah,5,8,68,7,0,4,4
75,2011-01-04,Semi,2011,Januari,06:00,0,Selasa,1,Cerah,5,8,74,7,0,36,36
76,2011-01-04,Semi,2011,Januari,07:00,0,Selasa,1,Cerah,5,8,74,9,2,92,94
77,2011-01-04,Semi,2011,Januari,08:00,0,Selasa,1,Cerah,6,8,69,11,2,177,179
78,2011-01-04,Semi,2011,Januari,09:00,0,Selasa,1,Cerah,7,8,64,15,2,98,100
79,2011-01-04,Semi,2011,Januari,10:00,0,Selasa,1,Berkabut,7,7,69,22,5,37,42
80,2011-01-04,Semi,2011,Januari,11:00,0,Selasa,1,Cerah,9,11,51,20,7,50,57
81,2011-01-04,Semi,2011,Januari,12:00,0,Selasa,1,Cerah,9,11,51,11,12,66,78
82,2011-01-04,Semi,2011,Januari,13:00,0,Selasa,1,Cerah,10,11,56,13,18,79,97
83,2011-01-04,Semi,2011,Januari,14:00,0,Selasa,1,Cerah,11,13,52,15,9,54,63
84,2011-01-04,Semi,2011,Januari,15:00,0,Selasa,1,Cerah,11,14,52,17,17,48,65
85,2011-01-04,Semi,2011,Januari,16:00,0,Selasa,1,Cerah,12,14,49,17,15,68,83
86,2011-01-04,Semi,2011,Januari,17:00,0,Selasa,1,Cerah,11,14,48,15,10,202,212
87,2011-01-04,Semi,2011,Januari,18:00,0,Selasa,1,Cerah,11,13,48,13,3,179,182
88,2011-01-04,Semi,2011,Januari,19:00,0,Selasa,1,Cerah,10,13,48,7,2,110,112
89,2011-01-04,Semi,2011,Januari,20:00,0,Selasa,1,Cerah,10,13,48,7,1,53,54
90,2011-01-04,Semi,2011,Januari,21:00,0,Selasa,1,Cerah,9,14,64,0,0,48,48
91,2011-01-04,Semi,2011,Januari,22:00,0,Selasa,1,Cerah,9,13,64,6,1,34,35
92,2011-01-04,Semi,2011,Januari,23:00,0,Selasa,1,Cerah,8,11,69,6,2,9,11
93,2011-01-05,Semi,2011,Januari,00:00,0,Rabu,1,Cerah,8,13,64,0,0,6,6
94,2011-01-05,Semi,2011,Januari,01:00,0,Rabu,1,Cerah,7,10,74,6,0,6,6
95,2011-01-05,Semi,2011,Januari,02:00,0,Rabu,1,Cerah,7,10,74,6,0,2,2
96,2011-01-05,Semi,2011,Januari,04:00,0,Rabu,1,Cerah,10,11,48,15,0,2,2
97,2011-01-05,Semi,2011,Januari,05:00,0,Rabu,1,Cerah,9,11,47,11,0,3,3
98,2011-01-05,Semi,2011,Januari,06:00,0,Rabu,1,Cerah,8,10,47,15,0,33,33
99,2011-01-05,Semi,2011,Januari,07:00,0,Rabu,1,Cerah,7,9,43,13,1,87,88
100,2011-01-05,Semi,2011,Januari,08:00,0,Rabu,1,Cerah,8,9,40,20,3,192,195
101,2011-01-05,Semi,2011,Januari,09:00,0,Rabu,1,Cerah,9,10,37,22,6,109,115
102,2011-01-05,Semi,2011,Januari,10:00,0,Rabu,1,Cerah,9,10,37,22,4,53,57
103,2011-01-05,Semi,2011,Januari,11:00,0,Rabu,1,Cerah,11,11,33,22,12,34,46
104,2011-01-05,Semi,2011,Januari,12:00,0,Rabu,1,Cerah,11,11,33,22,5,74,79
105,2011-01-05,Semi,2011,Januari,13:00,0,Rabu,1,Cerah,11,13,30,20,6,65,71
106,2011-01-05,Semi,2011,Januari,14:00,0,Rabu,1,Cerah,12,14,28,13,10,52,62
107,2011-01-05,Semi,2011,Januari,15:00,0,Rabu,1,Cerah,12,14,28,13,7,55,62
108,2011-01-05,Semi,2011,Januari,16:00,0,Rabu,1,Cerah,12,16,28,6,4,85,89
109,2011-01-05,Semi,2011,Januari,17:00,0,Rabu,1,Cerah,10,11,38,13,4,186,190
110,2011-01-05,Semi,2011,Januari,18:00,0,Rabu,1,Cerah,10,12,38,9,3,166,169
111,2011-01-05,Semi,2011,Januari,19:00,0,Rabu,1,Cerah,10,13,38,7,5,127,132
112,2011-01-05,Semi,2011,Januari,20:00,0,Rabu,1,Cerah,9,11,47,11,7,82,89
113,2011-01-05,Semi,2011,Januari,21:00,0,Rabu,1,Cerah,8,10,51,13,3,40,43
114,2011-01-05,Semi,2011,Januari,22:00,0,Rabu,1,Cerah,7,10,55,9,1,41,42
115,2011-01-05,Semi,2011,Januari,23:00,0,Rabu,1,Cerah,8,13,47,0,1,18,19
116,2011-01-06,Semi,2011,Januari,00:00,0,Kamis,1,Cerah,7,12,55,0,0,11,11
117,2011-01-06,Semi,2011,Januari,01:00,0,Kamis,1,Cerah,7,11,64,0,0,4,4
118,2011-01-06,Semi,2011,Januari,02:00,0,Kamis,1,Cerah,7,11,64,0,0,2,2
119,2011-01-06,Semi,2011,Januari,04:00,0,Kamis,1,Berkabut,7,10,64,6,0,1,1
120,2011-01-06,Semi,2011,Januari,05:00,0,Kamis,1,Berkabut,6,9,69,6,0,4,4
121,2011-01-06,Semi,2011,Januari,06:00,0,Kamis,1,Berkabut,6,8,63,7,0,36,36
122,2011-01-06,Semi,2011,Januari,07:00,0,Kamis,1,Berkabut,7,11,59,0,0,95,95
123,2011-01-06,Semi,2011,Januari,08:00,0,Kamis,1,Cerah,7,11,59,0,3,216,219
124,2011-01-06,Semi,2011,Januari,09:00,0,Kamis,1,Berkabut,7,12,51,0,6,116,122
125,2011-01-06,Semi,2011,Januari,10:00,0,Kamis,1,Cerah,8,13,47,0,3,42,45
126,2011-01-06,Semi,2011,Januari,11:00,0,Kamis,1,Cerah,9,13,44,6,2,57,59
127,2011-01-06,Semi,2011,Januari,12:00,0,Kamis,1,Cerah,11,14,35,0,6,78,84
128,2011-01-06,Semi,2011,Januari,13:00,0,Kamis,1,Cerah,11,14,35,7,12,55,67
129,2011-01-06,Semi,2011,Januari,14:00,0,Kamis,1,Cerah,11,14,36,11,11,59,70
130,2011-01-06,Semi,2011,Januari,15:00,0,Kamis,1,Cerah,11,14,36,0,8,54,62
131,2011-01-06,Semi,2011,Januari,16:00,0,Kamis,1,Cerah,11,13,38,11,12,74,86
132,2011-01-06,Semi,2011,Januari,17:00,0,Kamis,1,Cerah,9,11,51,11,9,163,172
133,2011-01-06,Semi,2011,Januari,18:00,0,Kamis,1,Cerah,9,11,51,9,5,158,163
134,2011-01-06,Semi,2011,Januari,19:00,0,Kamis,1,Cerah,9,13,55,6,3,109,112
135,2011-01-06,Semi,2011,Januari,20:00,0,Kamis,1,Cerah,8,11,51,11,3,66,69
136,2011-01-06,Semi,2011,Januari,21:00,0,Kamis,1,Berkabut,9,11,55,15,0,48,48
137,2011-01-06,Semi,2011,Januari,22:00,0,Kamis,1,Berkabut,9,11,51,19,1,51,52
138,2011-01-06,Semi,2011,Januari,23:00,0,Kamis,1,Berkabut,8,10,59,13,4,19,23
139,2011-01-07,Semi,2011,Januari,00:00,0,Jumat,1,Berkabut,8,10,64,13,4,13,17
140,2011-01-07,Semi,2011,Januari,01:00,0,Jumat,1,Berkabut,8,10,69,15,2,5,7
141,2011-01-07,Semi,2011,Januari,02:00,0,Jumat,1,Berkabut,8,10,69,15,0,1,1
142,2011-01-07,Semi,2011,Januari,04:00,0,Jumat,1,Berkabut,8,11,69,9,0,1,1
143,2011-01-07,Semi,2011,Januari,05:00,0,Jumat,1,Hujan/Salju Ringan,9,14,55,0,0,5,5
144,2011-01-07,Semi,2011,Januari,06:00,0,Jumat,1,Berkabut,8,13,69,0,8,26,34
145,2011-01-07,Semi,2011,Januari,07:00,0,Jumat,1,Cerah,8,11,69,9,8,76,84
146,2011-01-07,Semi,2011,Januari,08:00,0,Jumat,1,Cerah,8,10,51,17,20,190,210
147,2011-01-07,Semi,2011,Januari,09:00,0,Jumat,1,Cerah,8,9,47,20,9,125,134
148,2011-01-07,Semi,2011,Januari,10:00,0,Jumat,1,Cerah,9,10,37,22,16,47,63
149,2011-01-07,Semi,2011,Januari,11:00,0,Jumat,1,Berkabut,8,10,40,15,19,48,67
150,2011-01-07,Semi,2011,Januari,12:00,0,Jumat,1,Berkabut,8,10,37,17,9,50,59
151,2011-01-07,Semi,2011,Januari,13:00,0,Jumat,1,Berkabut,8,9,37,19,9,64,73
152,2011-01-07,Semi,2011,Januari,14:00,0,Jumat,1,Berkabut,8,10,40,17,7,43,50
153,2011-01-07,Semi,2011,Januari,15:00,0,Jumat,1,Berkabut,8,11,37,11,9,63,72
154,2011-01-07,Semi,2011,Januari,16:00,0,Jumat,1,Berkabut,8,11,37,11,5,82,87
155,2011-01-07,Semi,2011,Januari,17:00,0,Jumat,1,Berkabut,8,13,37,0,9,178,187
156,2011-01-07,Semi,2011,Januari,18:00,0,Jumat,1,Cerah,8,11,40,6,7,116,123
157,2011-01-07,Semi,2011,Januari,19:00,0,Jumat,1,Cerah,7,10,55,6,3,92,95
158,2011-01-07,Semi,2011,Januari,20:00,0,Jumat,1,Cerah,7,11,47,7,1,50,51
159,2011-01-07,Semi,2011,Januari,21:00,0,Jumat,1,Cerah,7,10,47,9,0,39,39
160,2011-01-07,Semi,2011,Januari,22:00,0,Jumat,1,Berkabut,7,10,43,11,2,34,36
161,2011-01-07,Semi,2011,Januari,23:00,0,Jumat,1,Berkabut,7,10,51,11,1,14,15
162,2011-01-08,Semi,2011,Januari,00:00,0,Sabtu,0,Berkabut,7,10,51,11,1,24,25
163,2011-01-08,Semi,2011,Januari,01:00,0,Sabtu,0,Berkabut,7,11,55,6,1,15,16
164,2011-01-08,Semi,2011,Januari,02:00,0,Sabtu,0,Berkabut,7,12,55,0,3,13,16
165,2011-01-08,Semi,2011,Januari,03:00,0,Sabtu,0,Hujan/Salju Ringan,7,10,55,11,0,7,7
166,2011-01-08,Semi,2011,Januari,04:00,0,Sabtu,0,Hujan/Salju Ringan,7,10,55,11,0,1,1
167,2011-01-08,Semi,2011,Januari,05:00,0,Sabtu,0,Berkabut,7,8,74,11,0,5,5
168,2011-01-08,Semi,2011,Januari,06:00,0,Sabtu,0,Berkabut,7,8,74,11,0,2,2
169,2011-01-08,Semi,2011,Januari,07:00,0,Sabtu,0,Berkabut,7,9,74,7,1,8,9
170,2011-01-08,Semi,2011,Januari,08:00,0,Sabtu,0,Hujan/Salju Ringan,7,9,93,7,0,15,15
171,2011-01-08,Semi,2011,Januari,09:00,0,Sabtu,0,Hujan/Salju Ringan,7,9,93,7,0,20,20
172,2011-01-08,Semi,2011,Januari,10:00,0,Sabtu,0,Berkabut,7,10,80,11,5,56,61
173,2011-01-08,Semi,2011,Januari,11:00,0,Sabtu,0,Berkabut,8,9,69,26,2,60,62
174,2011-01-08,Semi,2011,Januari,12:00,0,Sabtu,0,Berkabut,8,9,59,24,8,90,98
175,2011-01-08,Semi,2011,Januari,13:00,0,Sabtu,0,Cerah,8,9,44,22,7,95,102
176,2011-01-08,Semi,2011,Januari,14:00,0,Sabtu,0,Cerah,8,8,32,33,12,83,95
177,2011-01-08,Semi,2011,Januari,15:00,0,Sabtu,0,Cerah,8,8,32,30,5,69,74
178,2011-01-08,Semi,2011,Januari,16:00,0,Sabtu,0,Cerah,7,7,29,30,8,68,76
179,2011-01-08,Semi,2011,Januari,17:00,0,Sabtu,0,Cerah,7,6,37,37,5,64,69
180,2011-01-08,Semi,2011,Januari,18:00,0,Sabtu,0,Cerah,6,6,39,20,3,52,55
181,2011-01-08,Semi,2011,Januari,19:00,0,Sabtu,0,Cerah,6,6,36,17,4,26,30
182,2011-01-08,Semi,2011,Januari,20:00,0,Sabtu,0,Cerah,5,6,36,17,0,28,28
183,2011-01-08,Semi,2011,Januari,21:00,0,Sabtu,0,Cerah,5,5,39,24,2,35,37
184,2011-01-08,Semi,2011,Januari,22:00,0,Sabtu,0,Cerah,5,5,36,26,1,33,34
185,2011-01-08,Semi,2011,Januari,23:00,0,Sabtu,0,Cerah,4,3,39,30,0,22,22
186,2011-01-09,Semi,2011,Januari,00:00,0,Minggu,0,Cerah,4,4,42,26,1,24,25
187,2011-01-09,Semi,2011,Januari,01:00,0,Minggu,0,Cerah,4,3,42,31,0,12,12
188,2011-01-09,Semi,2011,Januari,02:00,0,Minggu,0,Cerah,4,3,46,31,0,11,11
189,2011-01-09,Semi,2011,Januari,03:00,0,Minggu,0,Cerah,4,4,46,28,0,4,4
190,2011-01-09,Semi,2011,Januari,04:00,0,Minggu,0,Cerah,3,5,53,13,0,1,1
191,2011-01-09,Semi,2011,Januari,05:00,0,Minggu,0,Cerah,3,5,53,13,0,1,1
192,2011-01-09,Semi,2011,Januari,06:00,0,Minggu,0,Cerah,4,5,49,19,0,1,1
193,2011-01-09,Semi,2011,Januari,07:00,0,Minggu,0,Cerah,3,5,53,13,1,5,6
194,2011-01-09,Semi,2011,Januari,08:00,0,Minggu,0,Cerah,4,5,49,19,0,10,10
195,2011-01-09,Semi,2011,Januari,09:00,0,Minggu,0,Cerah,5,4,46,35,0,19,19
196,2011-01-09,Semi,2011,Januari,10:00,0,Minggu,0,Cerah,6,5,43,26,0,49,49
197,2011-01-09,Semi,2011,Januari,11:00,0,Minggu,0,Cerah,7,6,40,35,2,47,49
198,2011-01-09,Semi,2011,Januari,12:00,0,Minggu,0,Cerah,7,7,37,30,4,79,83
199,2011-01-09,Semi,2011,Januari,13:00,0,Minggu,0,Cerah,8,8,34,30,6,69,75
200,2011-01-09,Semi,2011,Januari,14:00,0,Minggu,0,Cerah,9,9,32,31,8,64,72
201,2011-01-09,Semi,2011,Januari,15:00,0,Minggu,0,Cerah,9,10,35,24,5,77,82
202,2011-01-09,Semi,2011,Januari,16:00,0,Minggu,0,Cerah,8,8,34,30,13,79,92
203,2011-01-09,Semi,2011,Januari,17:00,0,Minggu,0,Cerah,7,8,37,26,3,59,62
204,2011-01-09,Semi,2011,Januari,18:00,0,Minggu,0,Cerah,7,7,40,22,4,44,48
205,2011-01-09,Semi,2011,Januari,19:00,0,Minggu,0,Cerah,7,7,43,22,1,40,41
206,2011-01-09,Semi,2011,Januari,20:00,0,Minggu,0,Cerah,6,6,46,17,0,38,38
207,2011-01-09,Semi,2011,Januari,21:00,0,Minggu,0,Cerah,6,5,46,28,1,19,20
208,2011-01-09,Semi,2011,Januari,22:00,0,Minggu,0,Cerah,6,6,46,20,5,10,15
209,2011-01-09,Semi,2011,Januari,23:00,0,Minggu,0,Cerah,5,7,50,13,0,6,6
210,2011-01-10,Semi,2011,Januari,00:00,0,Senin,1,Cerah,5,6,50,19,2,3,5
211,2011-01-10,Semi,2011,Januari,01:00,0,Senin,1,Cerah,5,6,50,19,1,0,1
212,2011-01-10,Semi,2011,Januari,02:00,0,Senin,1,Cerah,5,6,50,15,0,3,3
213,2011-01-10,Semi,2011,Januari,03:00,0,Senin,1,Cerah,5,6,50,15,0,1,1
214,2011-01-10,Semi,2011,Januari,04:00,0,Senin,1,Cerah,4,6,54,9,1,2,3
215,2011-01-10,Semi,2011,Januari,05:00,0,Senin,1,Cerah,4,5,54,17,0,3,3
216,2011-01-10,Semi,2011,Januari,06:00,0,Senin,1,Cerah,5,6,50,19,0,31,31
217,2011-01-10,Semi,2011,Januari,07:00,0,Senin,1,Cerah,5,6,50,15,2,75,77
218,2011-01-10,Semi,2011,Januari,08:00,0,Senin,1,Berkabut,5,6,50,19,4,184,188
219,2011-01-10,Semi,2011,Januari,09:00,0,Senin,1,Berkabut,6,6,50,17,2,92,94
220,2011-01-10,Semi,2011,Januari,10:00,0,Senin,1,Berkabut,6,6,50,20,0,31,31
221,2011-01-10,Semi,2011,Januari,11:00,0,Senin,1,Berkabut,7,7,47,19,2,28,30
222,2011-01-10,Semi,2011,Januari,12:00,0,Senin,1,Berkabut,8,9,40,19,5,47,52
223,2011-01-10,Semi,2011,Januari,13:00,0,Senin,1,Berkabut,8,9,40,19,4,50,54
224,2011-01-10,Semi,2011,Januari,14:00,0,Senin,1,Berkabut,8,10,40,15,0,47,47
225,2011-01-10,Semi,2011,Januari,15:00,0,Senin,1,Berkabut,8,10,40,15,2,43,45
226,2011-01-10,Semi,2011,Januari,16:00,0,Senin,1,Cerah,8,11,40,9,4,70,74
227,2011-01-10,Semi,2011,Januari,17:00,0,Senin,1,Cerah,8,11,40,7,4,174,178
228,2011-01-10,Semi,2011,Januari,18:00,0,Senin,1,Cerah,8,10,40,15,1,154,155
229,2011-01-10,Semi,2011,Januari,19:00,0,Senin,1,Cerah,7,8,47,11,3,92,95
230,2011-01-10,Semi,2011,Januari,20:00,0,Senin,1,Cerah,7,8,50,11,1,73,74
231,2011-01-10,Semi,2011,Januari,21:00,0,Senin,1,Cerah,6,7,59,13,1,37,38
232,2011-01-10,Semi,2011,Januari,22:00,0,Senin,1,Cerah,6,8,59,11,2,22,24
233,2011-01-10,Semi,2011,Januari,23:00,0,Senin,1,Cerah,6,8,59,11,0,18,18
234,2011-01-11,Semi,2011,Januari,00:00,0,Selasa,1,Cerah,6,8,59,7,2,10,12
235,2011-01-11,Semi,2011,Januari,01:00,0,Selasa,1,Cerah,6,8,59,11,0,3,3
236,2011-01-11,Semi,2011,Januari,02:00,0,Selasa,1,Berkabut,7,8,55,13,0,3,3
237,2011-01-11,Semi,2011,Januari,05:00,0,Selasa,1,Berkabut,7,9,55,9,0,6,6
238,2011-01-11,Semi,2011,Januari,06:00,0,Selasa,1,Berkabut,7,9,55,9,0,27,27
239,2011-01-11,Semi,2011,Januari,07:00,0,Selasa,1,Berkabut,7,11,55,0,2,97,99
240,2011-01-11,Semi,2011,Januari,08:00,0,Selasa,1,Berkabut,7,11,51,6,3,214,217
241,2011-01-11,Semi,2011,Januari,09:00,0,Selasa,1,Berkabut,7,10,51,11,3,127,130
242,2011-01-11,Semi,2011,Januari,10:00,0,Selasa,1,Berkabut,8,11,51,11,3,51,54
243,2011-01-11,Semi,2011,Januari,11:00,0,Selasa,1,Berkabut,8,11,47,9,4,31,35
244,2011-01-11,Semi,2011,Januari,12:00,0,Selasa,1,Berkabut,8,11,51,7,2,55,57
245,2011-01-11,Semi,2011,Januari,13:00,0,Selasa,1,Berkabut,8,11,59,6,6,46,52
246,2011-01-11,Semi,2011,Januari,14:00,0,Selasa,1,Berkabut,8,11,59,6,3,60,63
247,2011-01-11,Semi,2011,Januari,15:00,0,Selasa,1,Berkabut,7,10,80,6,2,45,47
248,2011-01-11,Semi,2011,Januari,16:00,0,Selasa,1,Berkabut,7,8,86,15,4,72,76
249,2011-01-11,Semi,2011,Januari,17:00,0,Selasa,1,Berkabut,7,8,86,15,6,130,136
250,2011-01-11,Semi,2011,Januari,18:00,0,Selasa,1,Hujan/Salju Ringan,7,9,93,7,1,94,95
251,2011-01-11,Semi,2011,Januari,19:00,0,Selasa,1,Hujan/Salju Ringan,7,11,93,0,0,51,51
252,2011-01-11,Semi,2011,Januari,20:00,0,Selasa,1,Hujan/Salju Ringan,7,8,93,13,0,32,32
253,2011-01-11,Semi,2011,Januari,21:00,0,Selasa,1,Hujan/Salju Ringan,7,10,86,6,0,20,20
254,2011-01-11,Semi,2011,Januari,22:00,0,Selasa,1,Hujan/Salju Ringan,7,9,93,7,1,28,29
255,2011-01-11,Semi,2011,Januari,23:00,0,Selasa,1,Hujan/Salju Ringan,7,10,93,6,1,18,19
256,2011-01-12,Semi,2011,Januari,00:00,0,Rabu,1,Berkabut,7,10,86,6,0,7,7
257,2011-01-12,Semi,2011,Januari,01:00,0,Rabu,1,Berkabut,7,9,86,7,0,6,6
258,2011-01-12,Semi,2011,Januari,02:00,0,Rabu,1,Cerah,6,8,86,9,0,1,1
259,2011-01-12,Semi,2011,Januari,05:00,0,Rabu,1,Cerah,6,8,86,11,0,5,5
260,2011-01-12,Semi,2011,Januari,06:00,0,Rabu,1,Cerah,5,8,93,9,0,16,16
261,2011-01-12,Semi,2011,Januari,07:00,0,Rabu,1,Cerah,6,8,69,9,0,54,54
